Region_Geografica,Acceso_Servicios_Financieros,Tiempo_Pago_Horas,Uso_Tecnologia_Movil,Ingresos_Mensuales,Preferencia_Pago,Tenencia_Telefono_Celular,Edad,Nivel_Educativo,Frecuencia_Transacciones,Costo_Transporte_Pago,Numero_Cuentas_Bancarias,Satisfaccion_Servicios_Financieros,Sucursales_10KM
Comuna 8,Cuenta Bancaria,5.2,Medio,1392812,Presencial,No,55,Primaria,38,5573.5,3,Muy Satisfecho,0
Comuna 8,Cuenta Bancaria,6.61,Alto,2038382,Digital,No,32,Técnico,21,14072.18,3,Insatisfecho,1
Comuna 5,Cuenta Bancaria,2.75,Alto,2078470,Presencial,No,41,Secundaria,16,6742.78,2,Insatisfecho,1
Zona Rural,Billetera Movil,6.13,Medio,1507713,Presencial,No,21,Técnico,6,5445.34,2,Muy Insatisfecho,1
Comuna 5,Cuenta Bancaria,6.73,Alto,1451363,Digital,Sí,46,Primaria,2,16614.92,0,Muy Satisfecho,3
Comuna 5,Cuenta Bancaria,6.94,Medio,1761540,Presencial,No,69,Primaria,35,5944.32,1,Insatisfecho,3
Comuna 8,Cuenta Bancaria,2.63,Bajo,2520525,Presencial,Sí,64,Técnico,13,14327.9,0,Muy Satisfecho,1
Comuna 13,Cuenta Bancaria,5.97,Medio,2528006,Digital,Sí,40,Técnico,29,1633.9,2,Insatisfecho,0
Comuna 8,Cuenta Bancaria,3.45,Medio,1770379,Digital,No,50,Secundaria,49,11457.53,3,Muy Insatisfecho,1
Comuna 8,Sin Acceso,4.49,Medio,2791692,Digital,Sí,21,Técnico,31,11602.74,3,Insatisfecho,0
Comuna 8,Sin Acceso,2.52,Bajo,2507161,Presencial,Sí,23,Técnico,38,9212.02,0,Satisfecho,1
Comuna 10,Billetera Movil,4.99,Alto,2582656,Presencial,No,69,Secundaria,20,17132.9,0,Muy Insatisfecho,0
Comuna 10,Cuenta Bancaria,3.39,Bajo,1327736,Presencial,Sí,20,Universitario,1,13981.52,1,Muy Satisfecho,1
Zona Rural,Cuenta Bancaria,0.99,Alto,2768489,Presencial,Sí,53,Técnico,9,19338.67,0,Muy Insatisfecho,0
Comuna 13,Sin Acceso,6.19,Bajo,1384901,Presencial,No,58,Técnico,23,14838.66,3,Neutral,1
Zona Rural,Sin Acceso,6.88,Medio,1475754,Digital,No,70,Universitario,43,6202.31,3,Muy Insatisfecho,0
Comuna 10,Sin Acceso,6.08,Bajo,2899567,Presencial,Sí,19,Técnico,12,13859.55,1,Insatisfecho,0
Comuna 8,Sin Acceso,5.38,Alto,1491263,Presencial,Sí,23,Universitario,35,6101.45,2,Insatisfecho,0
Comuna 13,Sin Acceso,5.84,Medio,1203793,Digital,No,21,Secundaria,2,17579.24,2,Muy Insatisfecho,0
Comuna 10,Sin Acceso,1.68,Alto,1858496,Presencial,Sí,66,Técnico,45,15541.53,0,Muy Insatisfecho,3
Comuna 5,Cuenta Bancaria,6.92,Medio,2379667,Digital,Sí,25,Universitario,11,4522.72,0,Neutral,0
Comuna 13,Sin Acceso,6.06,Medio,905512,Digital,No,44,Secundaria,35,17843.87,2,Muy Insatisfecho,1
Zona Rural,Cuenta Bancaria,6.99,Medio,1906069,Digital,No,45,Primaria,3,10504.68,0,Muy Satisfecho,0
Comuna 5,Sin Acceso,3.26,Medio,846022,Presencial,No,37,Técnico,3,7402.64,3,Insatisfecho,1
Comuna 8,Billetera Movil,2.92,Alto,2614927,Presencial,No,51,Primaria,15,6548.3,0,Satisfecho,1
Comuna 5,Billetera Movil,6.92,Alto,615917,Presencial,No,30,Secundaria,19,2619.51,0,Neutral,1
Comuna 8,Cuenta Bancaria,3.42,Alto,614923,Presencial,Sí,65,Universitario,4,13323.19,0,Muy Satisfecho,0
Comuna 10,Billetera Movil,1.66,Medio,907354,Presencial,Sí,18,Primaria,46,3986.04,0,Neutral,2
Comuna 13,Billetera Movil,2.49,Bajo,2284745,Presencial,No,45,Secundaria,43,5454.27,0,Neutral,1
Comuna 5,Cuenta Bancaria,3.2,Bajo,1300010,Presencial,No,31,Primaria,39,17781.39,1,Muy Insatisfecho,0
Comuna 5,Sin Acceso,7.22,Alto,1639914,Digital,No,51,Primaria,14,7399.89,3,Muy Insatisfecho,1
Comuna 10,Billetera Movil,5.18,Medio,2967579,Presencial,Sí,67,Secundaria,31,7286.55,1,Satisfecho,0
Zona Rural,Cuenta Bancaria,2.13,Alto,560751,Digital,Sí,25,Secundaria,6,16440.16,2,Neutral,1
Comuna 13,Billetera Movil,5.33,Bajo,1142050,Digital,No,38,Universitario,5,1439.87,2,Muy Insatisfecho,0
Comuna 10,Cuenta Bancaria,5.04,Bajo,2555725,Presencial,Sí,55,Secundaria,24,15404.33,2,Neutral,0
Comuna 13,Cuenta Bancaria,2.91,Alto,633705,Presencial,Sí,28,Técnico,48,5880.47,0,Insatisfecho,0
Comuna 8,Billetera Movil,2.04,Bajo,1263638,Presencial,Sí,61,Primaria,7,1709.8,3,Insatisfecho,0
Comuna 8,Sin Acceso,6.89,Alto,560187,Digital,Sí,63,Universitario,37,9957.58,1,Muy Satisfecho,0
Zona Rural,Billetera Movil,0.53,Medio,1455426,Digital,Sí,18,Primaria,46,14003.73,0,Satisfecho,3
Comuna 5,Cuenta Bancaria,2.7,Alto,2851894,Digital,No,28,Secundaria,2,14184.74,2,Muy Insatisfecho,1
Comuna 10,Cuenta Bancaria,4.45,Medio,1395331,Presencial,Sí,40,Primaria,34,17167.23,1,Insatisfecho,0
Comuna 5,Cuenta Bancaria,3.89,Medio,1313019,Digital,Sí,51,Primaria,45,10483.52,2,Muy Satisfecho,1
Comuna 5,Sin Acceso,5.75,Bajo,2966048,Digital,Sí,57,Secundaria,24,5174.99,3,Insatisfecho,0
Comuna 8,Billetera Movil,5.29,Alto,2631494,Digital,Sí,20,Secundaria,33,19076.41,3,Muy Satisfecho,1
Zona Rural,Sin Acceso,7.34,Bajo,782980,Presencial,Sí,66,Secundaria,32,9799.41,3,Muy Insatisfecho,0
Comuna 8,Cuenta Bancaria,3.58,Bajo,1971654,Presencial,Sí,47,Primaria,26,1648.22,0,Insatisfecho,1
Comuna 8,Sin Acceso,5.89,Bajo,2836038,Presencial,Sí,25,Universitario,39,6567.68,2,Muy Satisfecho,0
Comuna 13,Sin Acceso,5.83,Alto,767815,Presencial,Sí,59,Secundaria,42,5882.13,1,Insatisfecho,3
Comuna 13,Billetera Movil,7.12,Bajo,1564750,Digital,Sí,64,Primaria,34,8245.13,3,Muy Insatisfecho,1
Comuna 10,Sin Acceso,7.99,Medio,846778,Presencial,No,63,Primaria,10,19407.25,2,Muy Insatisfecho,0
Zona Rural,Billetera Movil,7.81,Bajo,534836,Presencial,No,21,Secundaria,29,7068.93,0,Insatisfecho,0
Zona Rural,Cuenta Bancaria,4.2,Alto,823276,Presencial,No,65,Universitario,1,17721.09,2,Muy Insatisfecho,0
Comuna 13,Billetera Movil,6.23,Alto,1733727,Digital,No,27,Primaria,46,19895.85,1,Satisfecho,0
Comuna 13,Cuenta Bancaria,0.87,Bajo,1118329,Digital,No,24,Universitario,10,9567.43,2,Muy Satisfecho,1
Comuna 8,Sin Acceso,4.64,Bajo,1940297,Digital,Sí,57,Primaria,14,18050.4,2,Satisfecho,3
Comuna 13,Billetera Movil,3.05,Bajo,1175391,Presencial,No,40,Técnico,19,14344.49,3,Muy Insatisfecho,0
Comuna 10,Cuenta Bancaria,4.93,Alto,1474206,Presencial,Sí,26,Universitario,27,3172.79,3,Muy Insatisfecho,3
Zona Rural,Billetera Movil,2.85,Bajo,915783,Digital,No,46,Secundaria,20,7052.8,1,Neutral,0
Comuna 13,Sin Acceso,4.64,Bajo,1335879,Digital,No,25,Secundaria,18,6486.98,3,Neutral,0
Zona Rural,Cuenta Bancaria,5.85,Bajo,2425855,Presencial,Sí,38,Secundaria,46,17758.29,1,Satisfecho,0
Comuna 10,Cuenta Bancaria,1.9,Medio,2932864,Digital,Sí,25,Técnico,41,4634.67,1,Insatisfecho,0
Comuna 8,Sin Acceso,1.91,Alto,2119334,Presencial,No,49,Técnico,44,18936.09,3,Muy Satisfecho,1
Comuna 5,Sin Acceso,7.62,Alto,827003,Digital,No,42,Secundaria,24,13056.42,2,Muy Insatisfecho,1
Zona Rural,Billetera Movil,1.43,Medio,1807076,Presencial,No,26,Técnico,5,2886.32,1,Muy Insatisfecho,1
Comuna 13,Cuenta Bancaria,2.78,Alto,2025481,Presencial,No,66,Primaria,40,2435.44,3,Muy Insatisfecho,1
Zona Rural,Cuenta Bancaria,4.0,Alto,1753797,Presencial,Sí,49,Primaria,31,16213.7,1,Satisfecho,3
Zona Rural,Cuenta Bancaria,2.38,Alto,1658499,Digital,Sí,64,Técnico,28,1112.82,3,Insatisfecho,3
Zona Rural,Cuenta Bancaria,0.8,Alto,1311756,Digital,No,55,Universitario,33,7319.8,1,Muy Insatisfecho,2
Comuna 5,Cuenta Bancaria,3.6,Medio,2136330,Presencial,Sí,39,Universitario,49,4830.42,2,Muy Insatisfecho,1
Zona Rural,Sin Acceso,4.6,Medio,1783948,Presencial,No,24,Universitario,36,3541.28,0,Satisfecho,2
Comuna 13,Cuenta Bancaria,7.67,Bajo,1616057,Presencial,Sí,60,Técnico,24,9925.59,2,Insatisfecho,1
Comuna 5,Sin Acceso,2.89,Alto,1027101,Digital,Sí,70,Secundaria,25,2070.69,1,Insatisfecho,0
Comuna 8,Billetera Movil,1.13,Alto,1223146,Presencial,Sí,68,Universitario,32,13720.6,2,Neutral,0
Comuna 13,Billetera Movil,5.25,Medio,984005,Digital,No,23,Universitario,7,8518.9,2,Neutral,2
Comuna 10,Cuenta Bancaria,7.47,Alto,972791,Digital,Sí,35,Técnico,45,18240.94,3,Muy Insatisfecho,1
Comuna 10,Billetera Movil,4.97,Bajo,2590002,Presencial,Sí,41,Técnico,25,12618.75,3,Neutral,0
Comuna 8,Sin Acceso,5.71,Alto,1764958,Digital,No,20,Técnico,27,6582.2,3,Insatisfecho,2
Comuna 5,Cuenta Bancaria,2.49,Medio,802454,Digital,Sí,56,Primaria,42,11886.32,0,Insatisfecho,1
Comuna 5,Cuenta Bancaria,3.85,Bajo,797658,Presencial,No,42,Secundaria,49,17864.08,1,Insatisfecho,0
Zona Rural,Billetera Movil,5.02,Bajo,2446164,Digital,No,40,Primaria,16,11886.57,3,Insatisfecho,0
Comuna 13,Sin Acceso,3.59,Bajo,2950251,Digital,Sí,50,Secundaria,21,5086.08,0,Muy Insatisfecho,0
Comuna 13,Cuenta Bancaria,0.68,Medio,1639273,Presencial,No,34,Secundaria,26,12302.56,1,Insatisfecho,0
Comuna 8,Cuenta Bancaria,4.41,Bajo,912862,Presencial,No,54,Técnico,3,19499.01,3,Muy Satisfecho,0
Zona Rural,Sin Acceso,2.06,Alto,1337546,Digital,No,56,Primaria,5,15217.45,3,Insatisfecho,3
Comuna 8,Cuenta Bancaria,5.88,Alto,2335580,Digital,No,20,Universitario,22,14742.02,1,Neutral,0
Comuna 10,Sin Acceso,5.57,Medio,2283113,Presencial,Sí,55,Técnico,33,15320.72,3,Neutral,0
Comuna 10,Billetera Movil,2.74,Alto,1855956,Digital,Sí,23,Técnico,46,19965.33,0,Muy Insatisfecho,1
Comuna 8,Sin Acceso,3.45,Bajo,1639611,Presencial,Sí,56,Técnico,4,19870.07,0,Muy Insatisfecho,1
Comuna 5,Billetera Movil,6.07,Alto,1050447,Digital,Sí,23,Técnico,1,3900.67,2,Muy Satisfecho,1
Comuna 5,Sin Acceso,6.51,Bajo,2744706,Presencial,No,48,Técnico,5,15630.57,2,Neutral,0
Comuna 13,Billetera Movil,6.96,Alto,2128401,Digital,Sí,39,Universitario,4,15155.01,2,Muy Satisfecho,0
Comuna 8,Billetera Movil,2.63,Medio,668362,Digital,No,55,Secundaria,1,13557.37,3,Muy Insatisfecho,2
Comuna 8,Sin Acceso,6.75,Alto,664450,Digital,Sí,39,Secundaria,13,10554.4,2,Satisfecho,0
Zona Rural,Sin Acceso,7.28,Medio,1878082,Digital,Sí,41,Primaria,29,14183.42,3,Satisfecho,0
Zona Rural,Cuenta Bancaria,5.62,Bajo,1440500,Digital,No,25,Universitario,47,7947.33,3,Muy Satisfecho,2
Zona Rural,Sin Acceso,5.33,Alto,1598544,Presencial,No,21,Secundaria,2,2267.1,2,Insatisfecho,0
Comuna 10,Cuenta Bancaria,4.41,Bajo,1816965,Digital,No,67,Técnico,24,19185.41,2,Insatisfecho,0
Comuna 13,Cuenta Bancaria,7.93,Alto,2357598,Presencial,Sí,63,Secundaria,4,9291.44,2,Insatisfecho,3
Comuna 10,Billetera Movil,4.39,Bajo,2872899,Presencial,No,56,Técnico,12,10871.57,1,Insatisfecho,0
Zona Rural,Cuenta Bancaria,3.33,Alto,2204932,Digital,Sí,23,Secundaria,10,3225.5,1,Muy Insatisfecho,3
Comuna 10,Cuenta Bancaria,0.95,Medio,775587,Presencial,Sí,53,Secundaria,47,12339.04,0,Insatisfecho,0
Comuna 8,Sin Acceso,6.34,Medio,2562542,Presencial,Sí,25,Primaria,25,14472.54,0,Muy Insatisfecho,0
Zona Rural,Billetera Movil,2.09,Alto,2664701,Digital,Sí,56,Primaria,15,18352.56,2,Satisfecho,1
Zona Rural,Sin Acceso,2.14,Medio,2544183,Digital,Sí,59,Técnico,45,13219.69,2,Satisfecho,0
Comuna 5,Billetera Movil,2.09,Bajo,1994721,Presencial,Sí,26,Universitario,38,2171.14,2,Muy Satisfecho,1
Comuna 13,Sin Acceso,6.85,Bajo,2544695,Presencial,No,45,Universitario,43,18151.19,2,Satisfecho,3
Comuna 5,Sin Acceso,2.23,Bajo,1387719,Presencial,Sí,26,Universitario,45,18278.18,3,Muy Satisfecho,1
Comuna 10,Billetera Movil,7.04,Bajo,1399576,Presencial,Sí,40,Técnico,9,8763.38,1,Insatisfecho,0
Comuna 10,Sin Acceso,3.64,Medio,1557714,Digital,Sí,37,Técnico,5,17273.9,0,Muy Satisfecho,1
Zona Rural,Billetera Movil,1.99,Alto,1419613,Presencial,No,44,Primaria,14,6430.95,1,Satisfecho,1
Comuna 8,Cuenta Bancaria,2.55,Bajo,713614,Presencial,No,25,Universitario,9,17097.7,1,Neutral,0
Zona Rural,Cuenta Bancaria,4.68,Bajo,2476288,Presencial,Sí,50,Técnico,42,1663.91,1,Satisfecho,1
Comuna 8,Sin Acceso,2.23,Medio,2082752,Presencial,Sí,53,Universitario,12,7512.9,0,Neutral,0
Comuna 8,Sin Acceso,0.98,Bajo,1152390,Digital,No,36,Primaria,25,6747.28,1,Muy Satisfecho,1
Zona Rural,Cuenta Bancaria,3.97,Bajo,624845,Presencial,No,40,Primaria,39,3901.84,1,Neutral,2
Zona Rural,Billetera Movil,6.98,Alto,2761388,Presencial,Sí,21,Universitario,5,10187.07,2,Muy Satisfecho,0
Comuna 10,Cuenta Bancaria,1.4,Bajo,2179402,Digital,No,64,Técnico,6,12888.56,1,Muy Satisfecho,1
Comuna 13,Cuenta Bancaria,5.16,Medio,2797214,Digital,No,49,Primaria,29,7312.18,0,Neutral,0
Comuna 10,Billetera Movil,1.92,Bajo,2307480,Presencial,Sí,18,Técnico,34,9069.02,0,Neutral,1
Comuna 5,Cuenta Bancaria,5.01,Bajo,1992824,Presencial,Sí,47,Secundaria,42,10058.66,3,Muy Insatisfecho,0
Zona Rural,Sin Acceso,4.54,Medio,870030,Presencial,Sí,51,Universitario,9,8414.09,0,Neutral,0
Zona Rural,Billetera Movil,1.18,Alto,2196552,Presencial,Sí,57,Secundaria,27,13100.96,0,Muy Satisfecho,0
Comuna 13,Sin Acceso,7.11,Alto,2378190,Digital,No,69,Primaria,14,12969.07,1,Insatisfecho,2
Zona Rural,Cuenta Bancaria,5.66,Medio,829698,Digital,Sí,24,Universitario,22,3746.42,3,Insatisfecho,0
Comuna 10,Billetera Movil,7.51,Bajo,2166686,Presencial,No,43,Técnico,24,19523.76,2,Insatisfecho,0
Comuna 10,Cuenta Bancaria,3.59,Alto,1860890,Presencial,Sí,28,Primaria,21,9822.05,3,Neutral,0
Zona Rural,Cuenta Bancaria,4.25,Alto,955176,Digital,No,37,Universitario,29,15430.52,2,Neutral,1
Comuna 10,Sin Acceso,7.56,Alto,1042713,Digital,Sí,33,Técnico,37,12527.3,2,Satisfecho,0
Zona Rural,Sin Acceso,4.37,Alto,1042790,Presencial,Sí,20,Secundaria,22,14783.85,3,Neutral,0
Comuna 5,Billetera Movil,6.82,Bajo,1432362,Presencial,No,52,Primaria,22,15858.61,2,Muy Insatisfecho,0
Zona Rural,Cuenta Bancaria,7.07,Medio,1081382,Digital,No,27,Secundaria,30,14436.24,1,Satisfecho,1
Comuna 8,Billetera Movil,2.54,Alto,2069740,Presencial,Sí,38,Técnico,33,11906.9,2,Satisfecho,0
Comuna 5,Sin Acceso,7.48,Bajo,874015,Digital,Sí,19,Universitario,42,6826.5,2,Insatisfecho,3
Comuna 8,Cuenta Bancaria,3.43,Medio,1718423,Digital,Sí,26,Secundaria,4,1330.35,0,Muy Satisfecho,1
Comuna 13,Billetera Movil,1.68,Bajo,2046289,Digital,Sí,60,Técnico,25,14888.91,0,Muy Insatisfecho,1
Comuna 5,Sin Acceso,2.2,Bajo,1836971,Digital,Sí,62,Universitario,24,4663.97,0,Insatisfecho,0
Comuna 13,Billetera Movil,1.87,Alto,1206546,Digital,Sí,40,Secundaria,17,19043.99,2,Satisfecho,0
Comuna 5,Sin Acceso,3.66,Medio,2880539,Presencial,Sí,25,Primaria,37,1128.52,2,Muy Satisfecho,1
Zona Rural,Cuenta Bancaria,4.2,Bajo,2144407,Presencial,Sí,25,Primaria,20,14490.96,0,Neutral,1
Zona Rural,Billetera Movil,5.2,Medio,1497432,Presencial,No,67,Técnico,13,3169.11,3,Insatisfecho,1
Comuna 13,Cuenta Bancaria,5.56,Alto,521864,Digital,No,22,Secundaria,25,14964.64,2,Satisfecho,1
Comuna 10,Cuenta Bancaria,2.79,Alto,1149797,Digital,No,29,Secundaria,44,4223.52,0,Neutral,0
Comuna 5,Sin Acceso,5.92,Bajo,805149,Presencial,Sí,65,Primaria,24,15851.42,0,Muy Insatisfecho,1
Comuna 8,Billetera Movil,1.8,Medio,2838745,Presencial,No,41,Universitario,31,15400.4,2,Neutral,0
Comuna 13,Billetera Movil,3.47,Alto,2403087,Digital,No,64,Universitario,29,19734.85,1,Satisfecho,0
Comuna 13,Sin Acceso,2.05,Bajo,593506,Presencial,Sí,26,Secundaria,17,7055.74,1,Satisfecho,1
Comuna 10,Billetera Movil,3.16,Bajo,950026,Digital,No,47,Universitario,32,7656.96,2,Muy Insatisfecho,0
Comuna 8,Cuenta Bancaria,4.84,Bajo,2733932,Presencial,Sí,67,Técnico,21,6682.04,0,Muy Insatisfecho,1
Zona Rural,Cuenta Bancaria,3.8,Medio,2400182,Presencial,No,24,Técnico,48,17291.37,0,Muy Insatisfecho,1
Comuna 8,Sin Acceso,6.59,Bajo,2062409,Digital,Sí,65,Técnico,40,17590.45,3,Muy Satisfecho,2
Comuna 13,Cuenta Bancaria,0.53,Alto,2871486,Presencial,No,54,Secundaria,30,17829.45,2,Satisfecho,3
Comuna 10,Sin Acceso,3.44,Bajo,2294453,Presencial,No,69,Universitario,28,3617.53,2,Muy Satisfecho,1
Comuna 10,Sin Acceso,0.82,Medio,2027268,Digital,Sí,68,Primaria,23,17960.98,0,Insatisfecho,1
Zona Rural,Cuenta Bancaria,6.87,Medio,2995051,Presencial,Sí,47,Primaria,6,18227.32,2,Insatisfecho,2
Comuna 13,Cuenta Bancaria,4.21,Alto,2601961,Digital,No,20,Secundaria,35,2828.78,0,Satisfecho,0
Comuna 13,Sin Acceso,2.5,Alto,562752,Digital,Sí,45,Primaria,22,14663.61,1,Neutral,0
Comuna 13,Cuenta Bancaria,6.64,Bajo,2835794,Presencial,Sí,39,Técnico,5,2072.06,0,Insatisfecho,0
Zona Rural,Sin Acceso,7.72,Alto,699432,Presencial,Sí,40,Secundaria,13,1048.72,0,Muy Satisfecho,3
Comuna 5,Cuenta Bancaria,7.03,Medio,1626117,Presencial,No,29,Técnico,44,1270.74,2,Muy Insatisfecho,0
Comuna 13,Cuenta Bancaria,3.06,Alto,1946472,Presencial,Sí,30,Secundaria,1,4760.14,3,Neutral,0
Comuna 13,Cuenta Bancaria,6.4,Bajo,1422492,Digital,No,31,Universitario,16,9704.89,2,Insatisfecho,0
Zona Rural,Billetera Movil,2.77,Bajo,852500,Presencial,No,67,Universitario,23,16530.71,1,Insatisfecho,0
Comuna 8,Sin Acceso,2.32,Alto,895882,Presencial,No,46,Técnico,43,2569.64,1,Muy Insatisfecho,1
Comuna 8,Cuenta Bancaria,4.72,Medio,1352646,Digital,No,34,Técnico,11,2626.79,1,Neutral,2
Zona Rural,Sin Acceso,4.55,Medio,797102,Digital,Sí,28,Secundaria,25,18904.64,0,Neutral,0
Comuna 10,Billetera Movil,7.87,Bajo,1229087,Presencial,Sí,34,Primaria,22,17779.18,1,Neutral,0
Comuna 5,Sin Acceso,2.13,Bajo,2682581,Presencial,Sí,37,Secundaria,30,12394.44,1,Insatisfecho,0
Comuna 8,Sin Acceso,4.27,Medio,600993,Presencial,Sí,43,Técnico,47,8116.42,2,Satisfecho,1
Comuna 8,Billetera Movil,7.88,Alto,1772612,Digital,Sí,57,Primaria,34,4054.79,2,Muy Insatisfecho,3
Comuna 8,Billetera Movil,5.76,Alto,1651068,Presencial,Sí,47,Secundaria,15,7852.2,2,Neutral,2
Comuna 8,Billetera Movil,2.44,Medio,2540367,Digital,No,21,Universitario,3,12113.53,0,Muy Insatisfecho,1
Comuna 10,Billetera Movil,6.86,Medio,1816582,Presencial,Sí,64,Universitario,1,6310.07,1,Insatisfecho,3
Comuna 10,Cuenta Bancaria,6.75,Bajo,2324036,Presencial,Sí,64,Técnico,45,11306.29,3,Muy Insatisfecho,2
Zona Rural,Billetera Movil,4.7,Bajo,1753267,Digital,No,61,Técnico,30,18758.34,1,Satisfecho,0
Zona Rural,Billetera Movil,4.94,Alto,2029317,Presencial,No,68,Secundaria,39,11807.65,3,Insatisfecho,0
Comuna 13,Cuenta Bancaria,2.19,Alto,2684414,Digital,Sí,45,Primaria,33,19593.53,1,Muy Satisfecho,0
Comuna 5,Billetera Movil,0.96,Bajo,2182880,Presencial,No,23,Secundaria,29,4979.3,2,Muy Satisfecho,1
Comuna 8,Cuenta Bancaria,4.12,Medio,1065759,Digital,Sí,66,Primaria,20,8678.25,1,Muy Satisfecho,1
Comuna 10,Billetera Movil,6.53,Alto,985962,Digital,Sí,60,Primaria,3,7442.14,0,Insatisfecho,3
Comuna 13,Billetera Movil,3.24,Alto,704983,Presencial,No,63,Universitario,28,12736.63,3,Muy Satisfecho,1
Comuna 10,Billetera Movil,3.96,Bajo,2500032,Presencial,No,36,Universitario,8,17135.78,1,Muy Satisfecho,1
Comuna 5,Billetera Movil,1.38,Alto,1866156,Presencial,Sí,18,Técnico,35,16001.13,3,Neutral,0
Comuna 8,Cuenta Bancaria,6.33,Bajo,537813,Presencial,Sí,33,Primaria,47,1834.85,0,Muy Satisfecho,0
Comuna 13,Cuenta Bancaria,1.49,Bajo,2012496,Presencial,No,65,Secundaria,46,17783.15,0,Muy Satisfecho,0
Zona Rural,Sin Acceso,5.75,Alto,2156719,Digital,Sí,48,Universitario,44,16108.14,1,Satisfecho,2
Comuna 8,Sin Acceso,2.29,Medio,1048851,Digital,Sí,68,Primaria,11,16679.72,2,Neutral,0
Comuna 13,Cuenta Bancaria,4.14,Alto,2156260,Presencial,Sí,32,Secundaria,20,16314.8,1,Muy Satisfecho,0
Comuna 13,Cuenta Bancaria,5.79,Medio,1860749,Digital,Sí,43,Primaria,39,9577.72,2,Muy Insatisfecho,0
Comuna 5,Billetera Movil,3.07,Bajo,1273670,Digital,Sí,30,Técnico,25,17859.75,0,Muy Insatisfecho,2
Comuna 13,Cuenta Bancaria,0.81,Bajo,1696244,Digital,Sí,62,Técnico,30,7385.53,3,Satisfecho,3
Comuna 8,Cuenta Bancaria,2.98,Bajo,2103763,Digital,No,38,Universitario,5,13122.18,0,Insatisfecho,0
Comuna 8,Sin Acceso,2.62,Bajo,2862449,Presencial,No,45,Universitario,7,6741.02,3,Satisfecho,0
Comuna 10,Sin Acceso,7.81,Medio,1885370,Digital,No,39,Secundaria,29,4724.91,1,Satisfecho,0
Comuna 10,Sin Acceso,6.2,Bajo,1620103,Digital,Sí,62,Técnico,26,11676.64,3,Muy Satisfecho,1
Comuna 13,Billetera Movil,7.83,Medio,1734456,Digital,Sí,61,Primaria,5,6002.5,1,Muy Insatisfecho,1
Zona Rural,Billetera Movil,1.74,Bajo,2059840,Presencial,No,55,Primaria,46,4148.26,2,Neutral,0
Comuna 13,Billetera Movil,5.79,Medio,2807592,Digital,No,54,Primaria,30,1773.02,2,Muy Satisfecho,0
Comuna 13,Sin Acceso,7.79,Medio,981090,Digital,No,28,Secundaria,9,13868.51,0,Satisfecho,1
Zona Rural,Sin Acceso,3.64,Alto,1526931,Presencial,Sí,56,Secundaria,15,1241.62,2,Satisfecho,0
Comuna 5,Billetera Movil,3.88,Alto,1464582,Presencial,Sí,53,Universitario,30,16767.56,3,Insatisfecho,1
Comuna 8,Billetera Movil,6.18,Bajo,1126937,Digital,No,25,Primaria,39,7607.98,1,Satisfecho,0
Comuna 8,Cuenta Bancaria,7.41,Medio,1455441,Digital,No,31,Primaria,25,12721.94,0,Muy Insatisfecho,0
Comuna 8,Cuenta Bancaria,6.8,Bajo,1757213,Digital,Sí,68,Primaria,5,14840.39,0,Neutral,0
Comuna 13,Billetera Movil,4.95,Medio,2322875,Presencial,Sí,41,Técnico,10,13029.61,2,Muy Satisfecho,0
Comuna 5,Cuenta Bancaria,7.54,Medio,690493,Digital,Sí,39,Primaria,19,12624.79,3,Neutral,3
Comuna 5,Billetera Movil,4.58,Alto,2057086,Presencial,No,30,Primaria,40,11564.01,2,Insatisfecho,0
Comuna 5,Sin Acceso,1.86,Medio,1096511,Digital,Sí,61,Secundaria,35,13122.34,2,Muy Insatisfecho,3
Comuna 10,Billetera Movil,7.64,Medio,1568553,Presencial,No,67,Primaria,22,9841.6,2,Muy Satisfecho,0
Comuna 5,Billetera Movil,6.19,Alto,1409289,Digital,Sí,25,Técnico,18,3767.04,1,Satisfecho,3
Comuna 5,Sin Acceso,4.83,Medio,829886,Digital,Sí,67,Primaria,4,7756.99,0,Insatisfecho,0
Comuna 5,Billetera Movil,5.88,Medio,1107239,Presencial,Sí,43,Primaria,26,16731.95,2,Muy Satisfecho,1
Zona Rural,Cuenta Bancaria,5.4,Medio,2668096,Digital,No,33,Primaria,19,10722.1,3,Neutral,0
Comuna 10,Sin Acceso,6.02,Bajo,2221352,Presencial,No,57,Universitario,42,13628.82,2,Muy Insatisfecho,1
Comuna 5,Cuenta Bancaria,2.85,Medio,2779728,Presencial,No,43,Técnico,29,17048.54,2,Satisfecho,0
Comuna 5,Sin Acceso,3.1,Medio,1085172,Presencial,No,70,Técnico,23,6029.46,3,Neutral,1
Comuna 8,Cuenta Bancaria,5.98,Medio,2335058,Presencial,No,25,Técnico,13,13651.59,3,Muy Satisfecho,0
Comuna 13,Sin Acceso,4.39,Alto,2398795,Digital,No,62,Universitario,3,4044.67,2,Neutral,0
Zona Rural,Sin Acceso,1.34,Medio,1727731,Presencial,No,35,Primaria,34,17044.3,0,Muy Insatisfecho,3
Comuna 5,Sin Acceso,4.63,Medio,2886801,Presencial,No,32,Universitario,24,12431.66,3,Neutral,2
Comuna 8,Sin Acceso,6.13,Alto,1385732,Presencial,No,69,Primaria,36,1397.99,2,Muy Satisfecho,0
Zona Rural,Sin Acceso,5.48,Medio,2991556,Digital,Sí,66,Secundaria,42,2662.43,1,Neutral,1
